"ensembl"	"gene"	"Chromosome"	"Start"	"End"
"ENSG00000130940"	"CASZ1"	"chr1"	10636604	10796650
"ENSG00000204624"	"DISP3"	"chr1"	11479155	11537551
"ENSG00000235643"	"LINC01647"	"chr1"	11609468	11613358
"ENSG00000116661"	"FBXO2"	"chr1"	11637018	11655785
"ENSG00000132879"	"FBXO44"	"chr1"	11654375	11663327
"ENSG00000116663"	"FBXO6"	"chr1"	11664200	11674354
"ENSG00000162490"	"DRAXIN"	"chr1"	11691710	11725857
"ENSG00000215910"	"C1orf167"	"chr1"	11761787	11789585
"ENSG00000083444"	"PLOD1"	"chr1"	11934205	11975538
"ENSG00000116691"	"MIIP"	"chr1"	12019466	12032045
"ENSG00000120949"	"TNFRSF8"	"chr1"	12063303	12144207
"ENSG00000028137"	"TNFRSF1B"	"chr1"	12166991	12209228
"ENSG00000048707"	"VPS13D"	"chr1"	12230030	12512047
"ENSG00000277862"	"PRAMEF34P"	"chr1"	13095179	13097971
"ENSG00000162494"	"LRRC38"	"chr1"	13474973	13514003
"ENSG00000189337"	"KAZN"	"chr1"	13892792	15118043
"ENSG00000142634"	"EFHD2"	"chr1"	15409888	15430339
"ENSG00000116786"	"PLEKHM2"	"chr1"	15684320	15734769
"ENSG00000224459"	"SLC25A34-AS1"	"chr1"	15740051	15749896
"ENSG00000162460"	"TMEM82"	"chr1"	15742499	15747982
"ENSG00000162458"	"FBLIM1"	"chr1"	15756607	15786594
"ENSG00000173641"	"HSPB7"	"chr1"	16014028	16019594
"ENSG00000186510"	"CLCNKA"	"chr1"	16018875	16034050
"ENSG00000184908"	"CLCNKB"	"chr1"	16040252	16057311
"ENSG00000185519"	"FAM131C"	"chr1"	16057769	16073651
"ENSG00000142632"	"ARHGEF19"	"chr1"	16197854	16212652
"ENSG00000233421"	"LINC01783"	"chr1"	16533886	16535649
"ENSG00000215908"	"CROCCP2"	"chr1"	16618253	16657232
"ENSG00000268869"	"ESPNP"	"chr1"	16687339	16720157
"ENSG00000058453"	"CROCC"	"chr1"	16740273	16972964
"ENSG00000186715"	"MST1L"	"chr1"	16754910	16770237
"ENSG00000159363"	"ATP13A2"	"chr1"	16985958	17011928
"ENSG00000117115"	"PADI2"	"chr1"	17066761	17119451
"ENSG00000142623"	"PADI1"	"chr1"	17205128	17246007
"ENSG00000074964"	"ARHGEF10L"	"chr1"	17539698	17697874
"ENSG00000236648"	"LINC02810"	"chr1"	17717625	17749978
"ENSG00000117148"	"ACTL8"	"chr1"	17755333	17827063
"ENSG00000117154"	"IGSF21"	"chr1"	18107798	18378483
"ENSG00000179023"	"KLHDC7A"	"chr1"	18480930	18485974
"ENSG00000009709"	"PAX7"	"chr1"	18630846	18748866
"ENSG00000179002"	"TAS1R2"	"chr1"	18839599	18859682
"ENSG00000159423"	"ALDH4A1"	"chr1"	18871430	18902724
"ENSG00000169991"	"IFFO2"	"chr1"	18904280	18956676
"ENSG00000158747"	"NBL1"	"chr1"	19596979	19658456
"ENSG00000270136"	"MICOS10-NBL1"	"chr1"	19597067	19656927
"ENSG00000158748"	"HTR6"	"chr1"	19664875	19680966
"ENSG00000188784"	"PLA2G2E"	"chr1"	19920009	19923617
"ENSG00000187980"	"PLA2G2C"	"chr1"	20161253	20186518
"ENSG00000158816"	"VWA5B1"	"chr1"	20290875	20359518
"ENSG00000236963"	"LINC01141"	"chr1"	20360579	20431234
"ENSG00000162545"	"CAMK2N1"	"chr1"	20482391	20486210
"ENSG00000158825"	"CDA"	"chr1"	20589086	20618903
"ENSG00000189410"	"SH2D5"	"chr1"	20719731	20732837
"ENSG00000117298"	"ECE1"	"chr1"	21217247	21345572
"ENSG00000162551"	"ALPL"	"chr1"	21509397	21578410
"ENSG00000233431"	"LINC02596"	"chr1"	21586472	21591187
"ENSG00000076864"	"RAP1GAP"	"chr1"	21596215	21669363
"ENSG00000142798"	"HSPG2"	"chr1"	21822244	21937310
"ENSG00000162552"	"WNT4"	"chr1"	22117313	22143969
"ENSG00000070886"	"EPHA8"	"chr1"	22563489	22603595
"ENSG00000173372"	"C1QA"	"chr1"	22636628	22639678
"ENSG00000159189"	"C1QC"	"chr1"	22643633	22648110
"ENSG00000173369"	"C1QB"	"chr1"	22652762	22661637
"ENSG00000133216"	"EPHB2"	"chr1"	22710839	22921500
"ENSG00000179546"	"HTR1D"	"chr1"	23191895	23217502
"ENSG00000007968"	"E2F2"	"chr1"	23506438	23531233
"ENSG00000142661"	"MYOM3"	"chr1"	24056035	24112135
"ENSG00000142677"	"IL22RA1"	"chr1"	24119771	24143140
"ENSG00000230023"	"LINC02800"	"chr1"	24200240	24211693
"ENSG00000020633"	"RUNX3"	"chr1"	24899511	24965121
"ENSG00000157978"	"LDLRAP1"	"chr1"	25543606	25568886
"ENSG00000117643"	"MAN1C1"	"chr1"	25616791	25786206
"ENSG00000162430"	"SELENON"	"chr1"	25800193	25818221
"ENSG00000158008"	"EXTL1"	"chr1"	26019884	26036464
"ENSG00000158062"	"UBXN11"	"chr1"	26281328	26318363
"ENSG00000176092"	"CRYBG2"	"chr1"	26321698	26360080
"ENSG00000131914"	"LIN28A"	"chr1"	26410817	26429728
"ENSG00000117676"	"RPS6KA1"	"chr1"	26529761	26575030
"ENSG00000175707"	"KDF1"	"chr1"	26949562	26960468
"ENSG00000090020"	"SLC9A1"	"chr1"	27098809	27166981
"ENSG00000142733"	"MAP3K6"	"chr1"	27354067	27366961
"ENSG00000174950"	"CD164L2"	"chr1"	27379176	27383333
"ENSG00000126705"	"AHDC1"	"chr1"	27534035	27604431
"ENSG00000116329"	"OPRD1"	"chr1"	28812142	28871267
"ENSG00000060656"	"PTPRU"	"chr1"	29236516	29326813
"ENSG00000223382"	"LINC01778"	"chr1"	30824217	30834864
"ENSG00000162512"	"SDC3"	"chr1"	30869466	30908758
"ENSG00000084628"	"NKAIN1"	"chr1"	31179745	31239887
"ENSG00000168528"	"SERINC2"	"chr1"	31409565	31434680
"ENSG00000284543"	"LINC01226"	"chr1"	31506226	31583306
"ENSG00000142910"	"TINAGL1"	"chr1"	31576485	31587686
"ENSG00000084636"	"COL16A1"	"chr1"	31652263	31704319
"ENSG00000121753"	"ADGRB2"	"chr1"	31727117	31764893
"ENSG00000084623"	"EIF3I"	"chr1"	32221077	32245397
"ENSG00000220785"	"MTMR9LP"	"chr1"	32231658	32241620
"ENSG00000160097"	"FNDC5"	"chr1"	32862268	32872482
"ENSG00000121905"	"HPCA"	"chr1"	32885994	32898441
"ENSG00000121900"	"TMEM54"	"chr1"	32894594	32901438
"ENSG00000134686"	"PHC2"	"chr1"	33323623	33431095
"ENSG00000233246"	"PHC2-AS1"	"chr1"	33350352	33363245
"ENSG00000121904"	"CSMD2"	"chr1"	33513998	34165842
"ENSG00000163866"	"SMIM12"	"chr1"	34712737	34859755
"ENSG00000188910"	"GJB3"	"chr1"	34781214	34786369
"ENSG00000116544"	"DLGAP3"	"chr1"	34865436	34929650
"ENSG00000020129"	"NCDN"	"chr1"	35557473	35567274
"ENSG00000239636"	"TFAP2E-AS1"	"chr1"	35569813	35577729
"ENSG00000116819"	"TFAP2E"	"chr1"	35573314	35595328
"ENSG00000171812"	"COL8A2"	"chr1"	36095239	36125222
"ENSG00000214193"	"SH3D21"	"chr1"	36306368	36329340
"ENSG00000142694"	"EVA1B"	"chr1"	36322030	36324154
"ENSG00000163873"	"GRIK3"	"chr1"	36795527	37034515
"ENSG00000233621"	"LINC01137"	"chr1"	37350934	37474411
"ENSG00000169218"	"RSPO1"	"chr1"	37611350	37634892
"ENSG00000183317"	"EPHA10"	"chr1"	37713880	37765133
"ENSG00000224592"	"MIR3659HG"	"chr1"	38047314	38119025
"ENSG00000284623"	"LINC02786"	"chr1"	38129464	38140593
"ENSG00000127603"	"MACF1"	"chr1"	39081316	39487177
"ENSG00000183682"	"BMP8A"	"chr1"	39491636	39529869
"ENSG00000243970"	"PPIEL"	"chr1"	39522280	39559671
"ENSG00000116985"	"BMP8B"	"chr1"	39757182	39788865
"ENSG00000168389"	"MFSD2A"	"chr1"	39955112	39969968
"ENSG00000117016"	"RIMS3"	"chr1"	40620680	40665682
"ENSG00000117013"	"KCNQ4"	"chr1"	40783787	40840452
"ENSG00000281207"	"SLFNL1-AS1"	"chr1"	41014590	41043890
"ENSG00000171790"	"SLFNL1"	"chr1"	41015597	41023237
"ENSG00000204060"	"FOXO6"	"chr1"	41361922	41383590
"ENSG00000127124"	"HIVEP3"	"chr1"	41506365	42035925
"ENSG00000142949"	"PTPRF"	"chr1"	43525187	43623666
"ENSG00000117407"	"ARTN"	"chr1"	43933320	43937240
"ENSG00000159214"	"CCDC24"	"chr1"	43991359	43996528
"ENSG00000196517"	"SLC6A9"	"chr1"	43991500	44031467
"ENSG00000187147"	"RNF220"	"chr1"	44405194	44651724
"ENSG00000117425"	"PTCH2"	"chr1"	44819844	44843253
"ENSG00000126107"	"HECTD3"	"chr1"	45002540	45011324
"ENSG00000162415"	"ZSWIM5"	"chr1"	45016399	45306209
"ENSG00000086015"	"MAST2"	"chr1"	45786987	46036122
"ENSG00000278139"	"P3R3URF-PIK3R3"	"chr1"	46043661	46176488
"ENSG00000232022"	"FAAHP1"	"chr1"	46432129	46482493
"ENSG00000197587"	"DMBX1"	"chr1"	46489836	46516216
"ENSG00000269956"	"MKNK1-AS1"	"chr1"	46538611	46570255
"ENSG00000162456"	"KNCN"	"chr1"	46545641	46551647
"ENSG00000225506"	"CYP4A22-AS1"	"chr1"	47096653	47179271
"ENSG00000162365"	"CYP4A22"	"chr1"	47137435	47149735
"ENSG00000162367"	"TAL1"	"chr1"	47216290	47232220
"ENSG00000237424"	"FOXD2-AS1"	"chr1"	47432133	47434641
"ENSG00000186564"	"FOXD2"	"chr1"	47438044	47440691
"ENSG00000269113"	"TRABD2B"	"chr1"	47760528	47997385
"ENSG00000174348"	"PODN"	"chr1"	53062052	53085501
"ENSG00000162383"	"SLC1A7"	"chr1"	53087179	53142638
"ENSG00000157193"	"LRP8"	"chr1"	53242364	53328469
"ENSG00000174332"	"GLIS1"	"chr1"	53506237	53738106
"ENSG00000157216"	"SSBP3"	"chr1"	54225433	54413479
"ENSG00000173406"	"DAB1"	"chr1"	56994778	58546734
"ENSG00000079739"	"PGM1"	"chr1"	63593411	63660245
"ENSG00000184588"	"PDE4B"	"chr1"	65792514	66374579
"ENSG00000033122"	"LRRC7"	"chr1"	69567922	70151945
"ENSG00000162624"	"LHX8"	"chr1"	75128434	75161533
"ENSG00000154027"	"AK5"	"chr1"	77282019	77559966
"ENSG00000267272"	"LINC01140"	"chr1"	87129765	87169198
"ENSG00000284240"	"LINC02801"	"chr1"	87212669	87264741
"ENSG00000143032"	"BARHL2"	"chr1"	90711539	90717302
"ENSG00000069702"	"TGFBR3"	"chr1"	91680343	91906335
"ENSG00000137936"	"BCAR3"	"chr1"	93561741	93847150
"ENSG00000137962"	"ARHGAP29"	"chr1"	94148988	94275068
"ENSG00000225206"	"MIR137HG"	"chr1"	97933474	98049863
"ENSG00000181656"	"GPR88"	"chr1"	100538139	100542021
"ENSG00000143126"	"CELSR2"	"chr1"	109249539	109275751
"ENSG00000143028"	"SYPL2"	"chr1"	109466546	109482134
"ENSG00000116337"	"AMPD2"	"chr1"	109616104	109632051
"ENSG00000184371"	"CSF1"	"chr1"	109910242	109930992
"ENSG00000258673"	"LINC01397"	"chr1"	110082688	110109719
"ENSG00000116396"	"KCNC4"	"chr1"	110210314	110283100
"ENSG00000177301"	"KCNA2"	"chr1"	110519837	110631474
"ENSG00000177272"	"KCNA3"	"chr1"	110672465	110674940
"ENSG00000231437"	"LINC01750"	"chr1"	111989770	111998842
"ENSG00000231246"	"LINC02884"	"chr1"	112177234	112360625
"ENSG00000134245"	"WNT2B"	"chr1"	112466541	112530165
"ENSG00000184599"	"TAFA3"	"chr1"	112718905	112727235
"ENSG00000134207"	"SYT6"	"chr1"	114089291	114153880
"ENSG00000175984"	"DENND2C"	"chr1"	114582848	114670422
"ENSG00000230806"	"SRGAP2-AS1"	"chr1"	121360156	121398806
"ENSG00000227082"	"LINC02798"	"chr1"	121396754	121463508
"ENSG00000265531"	"FCGR1CP"	"chr1"	143874793	143883575
"ENSG00000234571"	"H2BP2"	"chr1"	143875171	143904650
"ENSG00000232527"	"LINC02802"	"chr1"	144227029	144250326
"ENSG00000175658"	"DRD5P2"	"chr1"	144274892	144277993
"ENSG00000272419"	"LINC01145"	"chr1"	145164099	145216058
"ENSG00000275064"	"PDE4DIPP5"	"chr1"	145509047	145520594
"ENSG00000186141"	"POLR3C"	"chr1"	145824088	145844402
"ENSG00000198483"	"ANKRD35"	"chr1"	145866560	145885866
"ENSG00000272031"	"ANKRD34A"	"chr1"	145959441	145964575
"ENSG00000276975"	"HYDIN2"	"chr1"	146472566	146914294
"ENSG00000229828"	"PDE4DIPP1"	"chr1"	148080598	148093883
"ENSG00000277147"	"LINC00869"	"chr1"	149606334	149705716
"ENSG00000237781"	"ADAMTSL4-AS2"	"chr1"	150548562	150557724
"ENSG00000143382"	"ADAMTSL4"	"chr1"	150549369	150560937
"ENSG00000143434"	"SEMA6C"	"chr1"	151131685	151146664
"ENSG00000213171"	"LINGO4"	"chr1"	151800264	151805419
"ENSG00000143365"	"RORC"	"chr1"	151806071	151831845
"ENSG00000197747"	"S100A10"	"chr1"	151982915	151993859
"ENSG00000182898"	"TCHHL1"	"chr1"	152084141	152089064
"ENSG00000159450"	"TCHH"	"chr1"	152106317	152115454
"ENSG00000233792"	"PUDPP2"	"chr1"	152124016	152196699
"ENSG00000237975"	"FLG-AS1"	"chr1"	152168125	152445456
"ENSG00000143536"	"CRNN"	"chr1"	152409243	152414263
"ENSG00000169509"	"CRCT1"	"chr1"	152514482	152516008
"ENSG00000203782"	"LORICRIN"	"chr1"	153259687	153262124
"ENSG00000159527"	"PGLYRP3"	"chr1"	153297116	153312952
"ENSG00000163218"	"PGLYRP4"	"chr1"	153330120	153348841
"ENSG00000163221"	"S100A12"	"chr1"	153373711	153375621
"ENSG00000197364"	"S100A7L2"	"chr1"	153437058	153439949
"ENSG00000143556"	"S100A7"	"chr1"	153457744	153460651
"ENSG00000197956"	"S100A6"	"chr1"	153534599	153536244
"ENSG00000169418"	"NPR1"	"chr1"	153678688	153693992
"ENSG00000143624"	"INTS3"	"chr1"	153728050	153774808
"ENSG00000143554"	"SLC27A3"	"chr1"	153774354	153780157
"ENSG00000143614"	"GATAD2B"	"chr1"	153789030	153923360
"ENSG00000143549"	"TPM3"	"chr1"	154155304	154194648
"ENSG00000228013"	"IL6R-AS1"	"chr1"	154402328	154406564
"ENSG00000160712"	"IL6R"	"chr1"	154405193	154469450
"ENSG00000160716"	"CHRNB2"	"chr1"	154567778	154580013
"ENSG00000143603"	"KCNN3"	"chr1"	154697455	154870281
"ENSG00000160685"	"ZBTB7B"	"chr1"	155002630	155018522
"ENSG00000143537"	"ADAM15"	"chr1"	155050566	155062775
"ENSG00000143590"	"EFNA3"	"chr1"	155078837	155087538
"ENSG00000169242"	"EFNA1"	"chr1"	155127876	155134899
"ENSG00000163462"	"TRIM46"	"chr1"	155173787	155184971
"ENSG00000160767"	"FAM189B"	"chr1"	155247205	155255483
"ENSG00000116521"	"SCAMP3"	"chr1"	155255979	155262430
"ENSG00000225855"	"RUSC1-AS1"	"chr1"	155316863	155324176
"ENSG00000160753"	"RUSC1"	"chr1"	155320894	155331114
"ENSG00000160789"	"LMNA"	"chr1"	156082573	156140081
"ENSG00000260238"	"PMF1-BGLAP"	"chr1"	156212982	156243332
"ENSG00000160781"	"PAQR6"	"chr1"	156243320	156248117
"ENSG00000198952"	"SMG5"	"chr1"	156249224	156282825
"ENSG00000132677"	"RHBG"	"chr1"	156369211	156385219
"ENSG00000116604"	"MEF2D"	"chr1"	156463727	156500779
"ENSG00000183856"	"IQGAP3"	"chr1"	156525405	156572604
"ENSG00000187862"	"TTC24"	"chr1"	156579723	156587719
"ENSG00000132702"	"HAPLN2"	"chr1"	156619331	156625725
"ENSG00000132692"	"BCAN"	"chr1"	156641390	156659532
"ENSG00000132688"	"NES"	"chr1"	156668763	156677407
"ENSG00000027869"	"SH2D2A"	"chr1"	156806243	156816848
"ENSG00000198400"	"NTRK1"	"chr1"	156815640	156881850
"ENSG00000027644"	"INSRR"	"chr1"	156840063	156859117
"ENSG00000187800"	"PEAR1"	"chr1"	156893698	156916429
"ENSG00000160838"	"LRRC71"	"chr1"	156920632	156933094
"ENSG00000253831"	"ETV3L"	"chr1"	157092043	157112412
"ENSG00000271736"	"LINC02772"	"chr1"	157273760	157283968
"ENSG00000143297"	"FCRL5"	"chr1"	157513377	157552515
"ENSG00000163518"	"FCRL4"	"chr1"	157573747	157598085
"ENSG00000163534"	"FCRL1"	"chr1"	157794403	157820120
"ENSG00000073754"	"CD5L"	"chr1"	157830911	157898256
"ENSG00000227295"	"ELL2P1"	"chr1"	158175850	158177755
"ENSG00000158473"	"CD1D"	"chr1"	158178030	158186427
"ENSG00000158477"	"CD1A"	"chr1"	158254424	158258269
"ENSG00000186306"	"OR10T2"	"chr1"	158398522	158399466
"ENSG00000173285"	"OR10K1"	"chr1"	158461574	158470857
"ENSG00000197403"	"OR6N1"	"chr1"	158747814	158772195
"ENSG00000163568"	"AIM2"	"chr1"	159062484	159147096
"ENSG00000162706"	"CADM3"	"chr1"	159171609	159203313
"ENSG00000225670"	"CADM3-AS1"	"chr1"	159194325	159207973
"ENSG00000213088"	"ACKR1"	"chr1"	159203307	159206500
"ENSG00000188004"	"SNHG28"	"chr1"	159834480	159855071
"ENSG00000158710"	"TAGLN2"	"chr1"	159918107	159925507
"ENSG00000085552"	"IGSF9"	"chr1"	159927039	159945613
"ENSG00000224259"	"LINC01133"	"chr1"	159958035	159984750
"ENSG00000177807"	"KCNJ10"	"chr1"	159998651	160070160
"ENSG00000143226"	"FCGR2A"	"chr1"	161505430	161524013
"ENSG00000162745"	"OLFML2B"	"chr1"	161983192	162023869
"ENSG00000198929"	"NOS1AP"	"chr1"	162069691	162370475
"ENSG00000185630"	"PBX1"	"chr1"	164555584	164899296
"ENSG00000162761"	"LMX1A"	"chr1"	165201867	165356715
"ENSG00000238022"	"LMX1A-AS1"	"chr1"	165215951	165219104
"ENSG00000143183"	"TMCO1"	"chr1"	165724293	165827755
"ENSG00000188859"	"FAM78B"	"chr1"	166057426	166167001
"ENSG00000238087"	"FMO8P"	"chr1"	166566178	166580705
"ENSG00000215834"	"FMO9P"	"chr1"	166603916	166631400
"ENSG00000232148"	"FMO11P"	"chr1"	166763334	166792767
"ENSG00000232223"	"CNN2P10"	"chr1"	166796266	166797183
"ENSG00000143195"	"ILDR2"	"chr1"	166895711	166975540
"ENSG00000198821"	"CD247"	"chr1"	167430640	167518610
"ENSG00000143147"	"GPR161"	"chr1"	168079542	168137667
"ENSG00000143196"	"DPT"	"chr1"	168695468	168729206
"ENSG00000117477"	"CCDC181"	"chr1"	169394870	169460669
"ENSG00000174175"	"SELP"	"chr1"	169588849	169630193
"ENSG00000000460"	"C1orf112"	"chr1"	169662007	169854080
"ENSG00000007908"	"SELE"	"chr1"	169722640	169764705
"ENSG00000235750"	"KIAA0040"	"chr1"	175156986	175192999
"ENSG00000116147"	"TNR"	"chr1"	175315194	175743616
"ENSG00000116183"	"PAPPA2"	"chr1"	176463171	176845601
"ENSG00000152092"	"ASTN1"	"chr1"	176857302	177164973
"ENSG00000198797"	"BRINP2"	"chr1"	177170958	177282422
"ENSG00000116260"	"QSOX1"	"chr1"	180154869	180204030
"ENSG00000121454"	"LHX4"	"chr1"	180230264	180278984
"ENSG00000135835"	"KIAA1614"	"chr1"	180912897	180951614
"ENSG00000162783"	"IER5"	"chr1"	181088700	181092900
"ENSG00000179452"	"LINC01699"	"chr1"	181236388	181238604
"ENSG00000198216"	"CACNA1E"	"chr1"	181317690	181808084
"ENSG00000198756"	"COLGALT2"	"chr1"	183929854	184037729
"ENSG00000235492"	"LINC01221"	"chr1"	199016133	199076735
"ENSG00000116833"	"NR5A2"	"chr1"	200027614	200177420
"ENSG00000163362"	"INAVA"	"chr1"	200891048	200915742
"ENSG00000116852"	"KIF21B"	"chr1"	200969390	201023714
"ENSG00000081248"	"CACNA1S"	"chr1"	201039512	201112451
"ENSG00000232237"	"ASCL5"	"chr1"	201113943	201127184
"ENSG00000163395"	"IGFN1"	"chr1"	201190824	201228952
"ENSG00000081277"	"PKP1"	"chr1"	201283452	201332993
"ENSG00000118194"	"TNNT2"	"chr1"	201359008	201377764
"ENSG00000159166"	"LAD1"	"chr1"	201380833	201399915
"ENSG00000159173"	"TNNI1"	"chr1"	201403768	201429866
"ENSG00000174307"	"PHLDA3"	"chr1"	201464278	201469237
"ENSG00000223396"	"RPS10P7"	"chr1"	201518703	201584367
"ENSG00000134369"	"NAV1"	"chr1"	201622885	201826969
"ENSG00000231871"	"IPO9-AS1"	"chr1"	201688259	201829559
"ENSG00000198892"	"SHISA4"	"chr1"	201888680	201892587
"ENSG00000143851"	"PTPN7"	"chr1"	202147013	202161588
"ENSG00000243323"	"PTPRVP"	"chr1"	202168051	202189455
"ENSG00000133067"	"LGR6"	"chr1"	202193799	202319781
"ENSG00000143858"	"SYT2"	"chr1"	202590596	202710454
"ENSG00000143847"	"PPFIA4"	"chr1"	203026498	203078740
"ENSG00000163485"	"ADORA1"	"chr1"	203090654	203167405
"ENSG00000133055"	"MYBPH"	"chr1"	203167811	203175826
"ENSG00000133063"	"CHIT1"	"chr1"	203212827	203273641
"ENSG00000058668"	"ATP2B4"	"chr1"	203626787	203744081
"ENSG00000143842"	"SOX13"	"chr1"	204073115	204127743
"ENSG00000143845"	"ETNK2"	"chr1"	204131062	204152044
"ENSG00000143850"	"PLEKHA6"	"chr1"	204218853	204377665
"ENSG00000170382"	"LRRN2"	"chr1"	204617170	204685738
"ENSG00000163531"	"NFASC"	"chr1"	204828651	205022822
