hyper_cohort	probeID	bin_chr	bin_start	bin_end	cpg_count
TCGA-ACC	cg09701582	chr2	176152801	176153100	13
TCGA-ACC	cg15334372	chr16	73062901	73063200	28
TCGA-ACC	cg12752647	chr10	72089101	72089400	4
TCGA-ACC	cg05896714	chr17	19344301	19344600	20
TCGA-ACC	cg04194947	chr2	176147401	176147700	18
TCGA-ACC	cg25922751	chr12	124466101	124466400	23
TCGA-ACC	cg11779113	chr20	63567601	63567900	9
TCGA-ACC	cg06434451	chr1	32336401	32336700	21
TCGA-ACC	cg09748975	chr4	4862701	4863000	25
TCGA-ACC	cg13560612	chr6	108114301	108114600	9
TCGA-ACC	cg07143635	chr16	11587501	11587800	9
TCGA-ACC	cg01681367	chr16	29664601	29664900	16
TCGA-ACC	cg00048436	chr5	32708701	32709000	4
TCGA-ACC	cg11147215	chr8	104367301	104367600	25
TCGA-ACC	cg16672203	chr6	31776601	31776900	10
TCGA-ACC	cg07235053	chr11	94545301	94545600	29
TCGA-ACC	cg25938347	chr15	75346801	75347100	16
TCGA-ACC	cg06933824	chr5	172683301	172683600	34
TCGA-ACC	cg25929976	chr3	12287101	12287400	10
TCGA-ACC	cg10621809	chr12	95446501	95446800	18
TCGA-ACC	cg01482860	chr12	49341901	49342200	25
TCGA-ACC	cg23601905	chr17	17757601	17757900	12
TCGA-ACC	cg26219540	chr5	93601801	93602100	9
TCGA-ACC	cg26122129	chr8	30383401	30383700	10
TCGA-ACC	cg17213699	chr12	6772201	6772500	10
TCGA-ACC	cg11850468	chr5	180804001	180804300	14
TCGA-ACC	cg26188543	chr3	148947001	148947300	12
TCGA-ACC	cg11861448	chr19	474901	475200	17
TCGA-ACC	cg01129847	chr19	2281801	2282100	11
TCGA-ACC	cg21177821	chr14	60654901	60655200	7
TCGA-ACC	cg27125093	chr19	3179701	3180000	22
TCGA-ACC	cg13340279	chr15	67033201	67033500	11
TCGA-ACC	cg26107754	chr3	157131001	157131300	10
TCGA-ACC	cg00221709	chr15	96362101	96362400	9
TCGA-ACC	cg17508941	chr7	19143601	19143900	11
TCGA-ACC	cg14064526	chr5	176744101	176744400	15
TCGA-ACC	cg17122213	chr1	1629301	1629600	34
TCGA-ACC	cg24683222	chr4	41878201	41878500	25
TCGA-ACC	cg21396537	chr20	36065401	36065700	18
TCGA-ACC	cg27215100	chr17	82449601	82449900	13
TCGA-ACC	cg11284842	chr5	93596101	93596400	17
TCGA-ACC	cg23322546	chr2	176175301	176175600	15
TCGA-ACC	cg01974875	chr17	6714001	6714300	23
TCGA-ACC	cg17611074	chr2	56183101	56183400	6
TCGA-ACC	cg11569159	chr12	114735001	114735300	12
TCGA-ACC	cg00681462	chr14	75333901	75334200	18
TCGA-ACC	cg19693177	chr12	6951301	6951600	12
TCGA-ACC	cg13519851	chr8	11058901	11059200	12
TCGA-ACC	cg02061173	chr5	78509701	78510000	15
TCGA-ACC	cg02458483	chr1	32741101	32741400	10
TCGA-ACC	cg08865099	chr7	27241801	27242100	8
TCGA-BLCA	cg10403171	chr15	90957301	90957600	27
TCGA-BLCA	cg13891768	chr4	110614801	110615100	12
TCGA-BLCA	cg26069745	chr7	27102301	27102600	13
TCGA-BLCA	cg24670552	chr13	109784401	109784700	39
TCGA-BLCA	cg00914222	chr1	29259301	29259600	24
TCGA-BLCA	cg03056526	chr7	27244801	27245100	11
TCGA-BLCA	cg20457275	chr6	1393801	1394100	25
TCGA-BLCA	cg11029191	chr18	45838501	45838800	18
TCGA-BLCA	cg17358883	chr4	110637901	110638200	11
TCGA-BLCA	cg04786287	chr16	54936601	54936900	18
TCGA-BLCA	cg03144922	chr4	110619601	110619900	16
TCGA-BLCA	cg13677149	chr7	27245101	27245400	24
TCGA-BLCA	cg26333652	chr5	2750401	2750700	35
TCGA-BLCA	cg07057744	chr17	4641601	4641900	16
TCGA-BLCA	cg00533182	chr8	144500701	144501000	31
TCGA-BLCA	cg00914726	chr1	60073501	60073800	17
TCGA-BLCA	cg12911122	chr6	41548501	41548800	18
TCGA-BLCA	cg11103390	chr10	11742901	11743200	14
TCGA-BLCA	cg09765089	chr7	27251701	27252000	27
TCGA-BLCA	cg24030138	chr18	45839101	45839400	13
TCGA-BLCA	cg24329557	chr6	10881901	10882200	17
TCGA-BLCA	cg19722748	chr7	96998101	96998400	11
TCGA-BLCA	cg13555464	chr9	91420801	91421100	9
TCGA-BLCA	cg08738570	chr1	1539601	1539900	35
TCGA-BLCA	cg23983517	chr12	6647401	6647700	25
TCGA-BLCA	cg10364249	chr1	27575101	27575400	21
TCGA-BLCA	cg16376108	chr16	54933001	54933300	34
TCGA-BLCA	cg00036347	chr1	151839301	151839600	8
TCGA-BLCA	cg13808663	chr1	40979101	40979400	27
TCGA-BLCA	cg00605063	chr7	27249301	27249600	16
TCGA-BLCA	cg24505341	chr3	62875801	62876100	7
TCGA-BLCA	cg03112665	chr16	89202301	89202600	22
TCGA-BLCA	cg23806894	chr4	110614201	110614500	15
TCGA-BLCA	cg00328724	chr1	40979101	40979400	27
TCGA-BLCA	cg07615087	chr21	36705001	36705300	18
TCGA-BLCA	cg16851417	chr21	36704701	36705000	23
TCGA-BLCA	cg09232937	chr5	3595801	3596100	46
TCGA-BLCA	cg16196175	chr7	27249301	27249600	16
TCGA-BLCA	cg17275781	chr14	103273501	103273800	32
TCGA-BLCA	cg10488031	chr13	109785001	109785300	35
TCGA-BLCA	cg03241244	chr12	121578901	121579200	21
TCGA-BLCA	cg10530883	chr5	3595801	3596100	46
TCGA-BLCA	cg26668276	chr7	97003801	97004100	19
TCGA-BLCA	cg25023298	chr10	75396901	75397200	32
TCGA-BLCA	cg24080247	chr21	36710101	36710400	14
TCGA-BLCA	cg05096751	chr12	114699901	114700200	19
TCGA-BLCA	cg09885505	chr16	73065001	73065300	20
TCGA-BLCA	cg17890928	chr17	50468701	50469000	29
TCGA-BLCA	cg17666539	chr19	7862101	7862400	28
TCGA-BLCA	cg15043057	chr1	40979101	40979400	27
TCGA-BLCA	cg07084627	chr9	91421101	91421400	36
TCGA-BLCA	cg03499234	chr1	47444401	47444700	14
TCGA-BLCA	cg05734456	chr6	41548201	41548500	20
TCGA-BLCA	cg12924095	chr5	151770301	151770600	15
TCGA-BLCA	cg14886572	chr17	42782101	42782400	13
TCGA-BLCA	cg18064824	chr2	176114101	176114400	11
TCGA-BLCA	cg17199800	chr7	97003201	97003500	11
TCGA-BLCA	cg09841842	chr14	51507901	51508200	8
TCGA-BLCA	cg22289831	chr21	36704401	36704700	23
TCGA-BLCA	cg02058628	chr1	2232901	2233200	15
TCGA-BLCA	cg00388195	chr7	97017901	97018200	13
TCGA-BLCA	cg17536595	chr6	43644901	43645200	22
TCGA-BLCA	cg21183461	chr15	45135001	45135300	21
TCGA-BLCA	cg22571664	chr5	32712901	32713200	17
TCGA-BLCA	cg16300419	chr17	38509801	38510100	30
TCGA-BLCA	cg22108469	chr5	174731701	174732000	26
TCGA-BLCA	cg13769834	chr17	48636301	48636600	7
TCGA-BLCA	cg13769834	chr17	48636601	48636900	26
TCGA-BLCA	cg12097883	chr17	64778701	64779000	40
TCGA-BLCA	cg19863411	chr17	81911701	81912000	23
TCGA-BLCA	cg01405107	chr17	48594001	48594300	17
TCGA-BLCA	cg15750546	chr21	36708601	36708900	14
TCGA-BLCA	cg02600430	chr13	99971401	99971700	24
TCGA-BLCA	cg22489957	chr6	28953901	28954200	6
TCGA-BLCA	cg26918756	chr19	10514101	10514400	32
TCGA-BLCA	cg04267101	chr17	50541601	50541900	17
TCGA-BLCA	cg14580747	chr3	169666501	169666800	19
TCGA-BLCA	cg03505148	chr12	57737401	57737700	25
TCGA-BLCA	cg04348558	chr12	38138101	38138400	22
TCGA-BLCA	cg03782157	chr16	54936301	54936600	29
TCGA-BLCA	cg21697851	chr21	36704401	36704700	23
TCGA-BLCA	cg11077516	chr13	99968101	99968400	25
TCGA-BLCA	cg06654118	chr4	1309501	1309800	15
TCGA-BLCA	cg00767000	chr16	87491701	87492000	32
TCGA-BLCA	cg22085751	chr6	28953901	28954200	6
TCGA-BLCA	cg08637618	chr7	27239701	27240000	23
TCGA-BLCA	cg03840073	chr15	76343101	76343400	17
TCGA-BLCA	cg10003443	chr20	22586401	22586700	7
TCGA-BLCA	cg06005891	chr6	1388701	1389000	11
TCGA-BLCA	cg22429121	chr1	27575101	27575400	21
TCGA-BLCA	cg09881545	chr3	5095801	5096100	19
TCGA-BLCA	cg14451701	chr20	22587001	22587300	22
TCGA-BLCA	cg24881420	chr5	171308701	171309000	23
TCGA-BLCA	cg23363754	chr7	29566201	29566500	24
TCGA-BLCA	cg24864887	chr15	76343101	76343400	17
TCGA-BLCA	cg25675800	chr19	38870101	38870400	27
TCGA-BLCA	cg24496847	chr20	32457301	32457600	22
TCGA-BLCA	cg00813378	chr1	1539601	1539900	35
TCGA-BLCA	cg11144753	chr14	103273501	103273800	32
TCGA-BLCA	cg03207054	chr3	62875501	62875800	14
TCGA-BLCA	cg13463522	chr20	22587001	22587300	22
TCGA-BLCA	cg26608174	chr17	48633601	48633900	22
TCGA-BLCA	cg06226156	chr2	74499301	74499600	35
TCGA-BLCA	cg03514086	chr12	117876001	117876300	18
TCGA-BLCA	cg26126806	chr17	17781601	17781900	18
TCGA-BLCA	cg21971621	chr11	65833201	65833500	20
TCGA-BLCA	cg09427311	chr9	127123201	127123500	6
TCGA-BLCA	cg27262412	chr1	118987801	118988100	34
TCGA-BLCA	cg08077337	chr2	202035301	202035600	31
TCGA-BLCA	cg16347279	chr17	74671501	74671800	15
TCGA-BLCA	cg26720125	chr21	36705301	36705600	14
TCGA-BLCA	cg22257574	chr9	132878701	132879000	26
TCGA-BLCA	cg18810947	chr19	12720601	12720900	10
TCGA-BLCA	cg13719443	chr6	35732401	35732700	8
TCGA-BLCA	cg10947408	chr10	75395401	75395700	36
TCGA-BLCA	cg04617948	chr10	127736701	127737000	27
TCGA-BLCA	cg07459252	chr14	36660901	36661200	18
TCGA-BLCA	cg01429256	chr17	17784301	17784600	12
TCGA-BLCA	cg19137348	chr6	1554901	1555200	17
TCGA-BLCA	cg09532898	chr11	721201	721500	18
TCGA-BLCA	cg22006640	chr4	110610601	110610900	18
TCGA-BLCA	cg02119792	chr21	45590701	45591000	26
TCGA-BLCA	cg23588217	chr1	118987201	118987500	18
TCGA-BLCA	cg18451588	chr7	29566501	29566800	23
TCGA-BLCA	cg23316253	chr10	8034301	8034600	24
TCGA-BLCA	cg01029623	chr12	121578601	121578900	27
TCGA-BLCA	cg02011723	chr19	12720901	12721200	30
TCGA-BLCA	cg20691507	chr6	28988701	28989000	16
TCGA-BLCA	cg26942124	chr5	124744201	124744500	15
TCGA-BLCA	cg18941614	chr17	44210101	44210400	10
TCGA-BLCA	cg02928664	chr19	54465301	54465600	48
TCGA-BLCA	cg00847868	chr10	8042101	8042400	8
TCGA-BLCA	cg04814450	chr16	72787501	72787800	31
TCGA-BLCA	cg18320766	chr19	55087201	55087500	29
TCGA-BLCA	cg04735310	chr17	48633601	48633900	22
TCGA-BLCA	cg15669196	chr13	99969001	99969300	26
TCGA-BLCA	cg24604013	chr13	112066801	112067100	43
TCGA-BLCA	cg10748355	chr3	62876101	62876400	15
TCGA-BLCA	cg15677384	chr7	97018501	97018800	19
TCGA-BLCA	cg15296856	chr17	82241701	82242000	9
TCGA-BLCA	cg25365934	chr10	75395401	75395700	36
TCGA-BLCA	cg02382037	chr12	130338901	130339200	38
TCGA-BLCA	cg18832897	chr9	92807401	92807700	18
TCGA-BLCA	cg19209066	chr10	8043301	8043600	18
TCGA-BLCA	cg26003934	chr7	155805601	155805900	31
TCGA-BLCA	cg16238149	chr13	110520901	110521200	8
TCGA-BLCA	cg06495131	chr6	6003301	6003600	19
TCGA-BLCA	cg24998096	chr5	116576401	116576700	28
TCGA-BLCA	cg24124798	chr19	57888901	57889200	15
TCGA-BLCA	cg15031976	chr15	96360901	96361200	12
TCGA-BLCA	cg13257436	chr8	144500401	144500700	23
TCGA-BLCA	cg13081600	chr7	155804701	155805000	20
TCGA-BLCA	cg25637829	chr10	75395701	75396000	19
TCGA-BLCA	cg23719318	chr2	20665801	20666100	23
TCGA-BLCA	cg03945800	chr16	4115401	4115700	23
TCGA-BLCA	cg15753746	chr2	170823001	170823300	23
TCGA-BLCA	cg15957055	chr3	62875201	62875500	24
TCGA-BLCA	cg14263858	chr19	4328701	4329000	21
TCGA-BLCA	cg07397956	chr14	36663301	36663600	26
TCGA-BLCA	cg05903444	chr5	2750701	2751000	42
TCGA-BLCA	cg08307030	chr15	76341901	76342200	18
TCGA-BLCA	cg11962310	chr20	3093001	3093300	32
TCGA-BLCA	cg08189801	chr17	48593101	48593400	22
TCGA-BLCA	cg10397678	chr14	103189201	103189500	31
TCGA-BLCA	cg18705279	chr16	67163101	67163400	35
TCGA-BLCA	cg05752393	chr18	45838801	45839100	38
TCGA-BLCA	cg08536841	chr19	48747001	48747300	10
TCGA-BLCA	cg02111032	chr7	20778301	20778600	23
TCGA-BLCA	cg10422777	chr9	77016301	77016600	25
TCGA-BLCA	cg06654127	chr6	41427301	41427600	13
TCGA-BLCA	cg11431957	chr3	37994401	37994700	16
TCGA-BLCA	cg00970313	chr14	36656701	36657000	12
TCGA-BLCA	cg10536276	chr2	113198701	113199000	26
TCGA-BLCA	cg08144172	chr1	41383501	41383800	13
TCGA-BLCA	cg24468070	chr19	54465301	54465600	48
TCGA-BLCA	cg18486707	chr6	33207301	33207600	10
TCGA-BLCA	cg27638815	chr19	15551701	15552000	7
TCGA-BLCA	cg08649201	chr6	6004201	6004500	11
TCGA-BLCA	cg22462010	chr8	123161101	123161400	20
TCGA-BLCA	cg21093166	chr5	2751901	2752200	31
TCGA-BLCA	cg02730156	chr21	36697501	36697800	25
TCGA-BLCA	cg06482428	chr4	21948301	21948600	18
TCGA-BLCA	cg19992207	chr2	111116701	111117000	7
TCGA-BLCA	cg02711397	chr19	38869501	38869800	16
TCGA-BLCA	cg14697743	chr17	77451901	77452200	19
TCGA-BLCA	cg21849844	chr13	99959401	99959700	13
TCGA-BLCA	cg09721427	chr10	92688901	92689200	20
TCGA-BLCA	cg19737787	chr13	27918001	27918300	24
TCGA-BLCA	cg12748890	chr1	27349501	27349800	27
TCGA-BLCA	cg02384661	chr12	53975701	53976000	16
TCGA-BLCA	cg27543538	chr1	27576001	27576300	23
TCGA-BLCA	cg18521743	chr19	58514101	58514400	33
TCGA-BLCA	cg08108750	chr15	96346201	96346500	4
TCGA-BLCA	cg19759549	chr3	128492101	128492400	26
TCGA-BLCA	cg12804791	chr11	126416701	126417000	37
TCGA-BLCA	cg04097639	chr1	200040601	200040900	25
TCGA-BLCA	cg03609666	chr19	48747001	48747300	10
TCGA-BLCA	cg01146232	chr16	51151201	51151500	27
TCGA-BLCA	cg06885189	chr5	145856401	145856700	18
TCGA-BLCA	cg18064714	chr7	20784901	20785200	32
TCGA-BLCA	cg13364038	chr14	101458801	101459100	35
TCGA-BLCA	cg18329187	chr14	103523101	103523400	36
TCGA-BLCA	cg18323912	chr5	42994501	42994800	24
TCGA-BLCA	cg09216650	chr12	114736201	114736500	17
TCGA-BLCA	cg03625287	chr13	23547001	23547300	19
TCGA-BLCA	cg17858880	chr7	47537101	47537400	31
TCGA-BLCA	cg01907098	chr21	43729201	43729500	14
TCGA-BLCA	cg03932361	chr17	74671201	74671500	25
TCGA-BLCA	cg01972418	chr14	36656101	36656400	26
TCGA-BLCA	cg19500479	chr2	20665801	20666100	23
TCGA-BLCA	cg17446371	chr12	114699901	114700200	19
TCGA-BLCA	cg16150752	chr5	16179901	16180200	37
TCGA-BLCA	cg17708995	chr19	12721201	12721500	23
TCGA-BLCA	cg06832687	chr6	32154901	32155200	12
TCGA-BLCA	cg20177650	chr3	181727101	181727400	17
TCGA-BLCA	cg08102508	chr3	13073401	13073700	40
TCGA-BLCA	cg00689492	chr4	1309501	1309800	15
TCGA-BLCA	cg02336762	chr12	117876001	117876300	18
TCGA-BLCA	cg22280258	chr17	4641601	4641900	16
TCGA-BLCA	cg11991058	chr2	167293801	167294100	13
TCGA-BLCA	cg18582992	chr15	45187201	45187500	19
TCGA-BLCA	cg06862374	chr2	218871601	218871900	33
TCGA-BLCA	cg13884568	chr9	77015101	77015400	16
TCGA-BLCA	cg18530551	chr5	173243701	173244000	17
TCGA-BLCA	cg14696334	chr15	90956701	90957000	36
TCGA-BLCA	cg08464190	chr16	49281301	49281600	30
TCGA-BLCA	cg07790170	chr4	110616301	110616600	9
TCGA-BLCA	cg18585988	chr19	45153001	45153300	28
TCGA-BLCA	cg05221455	chr11	829501	829800	16
TCGA-BLCA	cg06238944	chr7	155804101	155804400	31
TCGA-BLCA	cg24475782	chr1	118988101	118988400	7
TCGA-BLCA	cg12984729	chr15	76341301	76341600	15
TCGA-BLCA	cg07983905	chr20	3092701	3093000	36
TCGA-BLCA	cg14658067	chr7	1233601	1233900	31
TCGA-BLCA	cg06392169	chr6	391801	392100	27
TCGA-BLCA	cg04785900	chr8	2001901	2002200	52
TCGA-BLCA	cg04661629	chr1	26360401	26360700	20
TCGA-BLCA	cg25277187	chr14	52068301	52068600	18
TCGA-BLCA	cg22127570	chr4	173522101	173522400	26
TCGA-BLCA	cg03809346	chr17	48593701	48594000	16
TCGA-BLCA	cg06678084	chr11	65833201	65833500	20
TCGA-BLCA	cg05164933	chr4	153789001	153789300	20
TCGA-BLCA	cg20040488	chr6	28988701	28989000	16
TCGA-BLCA	cg23983435	chr3	42265201	42265500	16
TCGA-BLCA	cg08813062	chr2	174334801	174335100	32
TCGA-BLCA	cg06398556	chr20	22578001	22578300	13
TCGA-BLCA	cg08900404	chr7	29565901	29566200	12
TCGA-BLCA	cg13630043	chr10	117548101	117548400	16
TCGA-BLCA	cg00842351	chr9	69174601	69174900	11
TCGA-BLCA	cg11735311	chr1	41366701	41367000	20
TCGA-BLCA	cg23121156	chr4	153789001	153789300	20
TCGA-BLCA	cg08483376	chr7	27245401	27245700	11
TCGA-BLCA	cg07870999	chr7	155468101	155468400	26
TCGA-BLCA	cg14693465	chr15	76339801	76340100	25
TCGA-BLCA	cg09516965	chr14	52267801	52268100	24
TCGA-BLCA	cg00263760	chr10	117137701	117138000	30
TCGA-BLCA	cg23646776	chr4	110615701	110616000	15
TCGA-BLCA	cg20210482	chr11	126416401	126416700	15
TCGA-BLCA	cg09714379	chr10	133230301	133230600	47
TCGA-BLCA	cg12674357	chr6	106509901	106510200	10
TCGA-BLCA	cg15343119	chr18	77249701	77250000	27
TCGA-BLCA	cg15661473	chr19	45152701	45153000	33
TCGA-BLCA	cg01003961	chr7	20784901	20785200	32
TCGA-BLCA	cg19590532	chr1	24929401	24929700	37
TCGA-BLCA	cg06269753	chr8	71843401	71843700	16
TCGA-BLCA	cg14381623	chr9	136199701	136200000	34
TCGA-BLCA	cg25571269	chr17	31559701	31560000	36
TCGA-BLCA	cg17446010	chr15	76341001	76341300	19
TCGA-BLCA	cg17526513	chr19	17235301	17235600	23
TCGA-BLCA	cg02916816	chr14	23577601	23577900	12
TCGA-BLCA	cg11739758	chr17	48593101	48593400	22
TCGA-BLCA	cg07349208	chr4	110611501	110611800	30
TCGA-BLCA	cg10227358	chr17	4641601	4641900	16
TCGA-BLCA	cg00688297	chr8	144526801	144527100	38
TCGA-BLCA	cg19610869	chr5	157671601	157671900	34
TCGA-BLCA	cg03720390	chr6	28944301	28944600	12
TCGA-BLCA	cg16189643	chr6	1554901	1555200	17
TCGA-BLCA	cg03887520	chr2	44934001	44934300	13
TCGA-BLCA	cg26735846	chr10	123135301	123135600	32
TCGA-BLCA	cg03509106	chr4	121071001	121071300	25
TCGA-BLCA	cg16202340	chr4	4866001	4866300	22
TCGA-BLCA	cg09813525	chr13	52846201	52846500	37
TCGA-BLCA	cg26237681	chr6	10886701	10887000	20
TCGA-BLCA	cg16519192	chr12	115599301	115599600	12
TCGA-BLCA	cg15469350	chr4	20253301	20253600	14
TCGA-BLCA	cg06456154	chr10	117550801	117551100	12
TCGA-BLCA	cg00609834	chr11	13962901	13963200	33
TCGA-BLCA	cg27112264	chr19	57888901	57889200	15
TCGA-BLCA	cg17516577	chr10	70381501	70381800	14
TCGA-BLCA	cg25759916	chr1	1040101	1040400	25
TCGA-BLCA	cg22112360	chr17	77372401	77372700	9
TCGA-BLCA	cg07078841	chr2	38075701	38076000	23
TCGA-BLCA	cg14488317	chr11	3160201	3160500	21
TCGA-BLCA	cg26504229	chr21	43728901	43729200	19
TCGA-BLCA	cg16691821	chr1	2444101	2444400	25
TCGA-BLCA	cg11595545	chr1	110674801	110675100	44
TCGA-BLCA	cg24954207	chr3	128498101	128498400	4
TCGA-BLCA	cg10783371	chr3	181719601	181719900	16
TCGA-BLCA	cg25451893	chr12	25385101	25385400	18
TCGA-BLCA	cg19712603	chr13	52848601	52848900	17
TCGA-BLCA	cg14459130	chr2	174334801	174335100	32
TCGA-BLCA	cg15001747	chr17	36935101	36935400	27
TCGA-BLCA	cg16573782	chr16	49281601	49281900	42
TCGA-BLCA	cg09474229	chr19	38869501	38869800	16
TCGA-BLCA	cg14638883	chr6	166168501	166168800	25
TCGA-BLCA	cg13677415	chr17	36934501	36934800	19
TCGA-BLCA	cg02194223	chr7	27245701	27246000	21
TCGA-BLCA	cg23267759	chr18	22171201	22171500	34
TCGA-BLCA	cg07268058	chr15	76337701	76338000	31
TCGA-BLCA	cg12175729	chr8	139703101	139703400	35
TCGA-BLCA	cg05880945	chr9	38622301	38622600	22
TCGA-BRCA	cg10552964	chr6	36024001	36024300	7
TCGA-BRCA	cg23635560	chr2	27250201	27250500	15
TCGA-BRCA	cg23635560	chr2	27250501	27250800	7
TCGA-BRCA	cg26107597	chr14	30873901	30874200	15
